COURSE_ID|EXTERNAL_COURSE_KEY|COURSE_NAME|ALLOW_GUEST_IND|CATALOG_IND|AVAILABLE_IND|DESC_PAGE
MANG3017-10118-07-08|MANG3017-10118-07-08|07-08-Marketing Analysis-10118|N|Y|N|Y
MANG3017-10118-06-07|MANG3017-10118-06-07|06-07-Marketing Analysis-10118|N|Y|N|Y
MANG3017-10118-05-06|MANG3017-10118-05-06|05-06-Marketing Analysis-10118|N|Y|N|Y
MANG3020-10123-07-08|MANG3020-10123-07-08|07-08-Futures and Options-10123|N|Y|N|Y
MANG3020-20790-06-07|MANG3020-20790-06-07|06-07-Futures and Options-20790|N|Y|N|Y
MANG3020-10123-06-07|MANG3020-10123-06-07|06-07-Futures and Options-10123|N|Y|N|Y
MANG3020-10123-05-06|MANG3020-10123-05-06|05-06-Futures and Options-10123|N|Y|N|Y
MANG3021-10124-07-08|MANG3021-10124-07-08|07-08-Corporate Governance-10124|N|Y|N|Y
MANG3021-10124-06-07|MANG3021-10124-06-07|06-07-Corporate Governance-10124|N|Y|N|Y
MANG3021-10124-05-06|MANG3021-10124-05-06|05-06-Corporate Governance-10124|N|Y|N|Y
MANG3022-10129-07-08|MANG3022-10129-07-08|07-08-Management 1-10129|N|Y|N|Y
MANG3022-10129-06-07|MANG3022-10129-06-07|06-07-Management 1-10129|N|Y|N|Y
MANG3022-10129-05-06|MANG3022-10129-05-06|05-06-Management 1-10129|N|Y|N|Y
MANG3023-10130-07-08|MANG3023-10130-07-08|07-08-Management 2-10130|N|Y|N|Y
MANG3023-10130-06-07|MANG3023-10130-06-07|06-07-Management 2-10130|N|Y|N|Y
MANG3023-10130-05-06|MANG3023-10130-05-06|05-06-Management 2-10130|N|Y|N|Y
MANG2008-10079-07-08|MANG2008-10079-07-08|07-08-Management Research-10079|N|Y|N|Y
MANG2008-10079-06-07|MANG2008-10079-06-07|06-07-Management Research-10079|N|Y|N|Y
MANG2008-10079-05-06|MANG2008-10079-05-06|05-06-Management Research-10079|N|Y|N|Y
MANG2010-10081-07-08|MANG2010-10081-07-08|07-08-Information Systems Management-10081|N|Y|N|Y
MANG2010-10081-06-07|MANG2010-10081-06-07|06-07-Information Systems Management-10081|N|Y|N|Y
MANG2010-10081-05-06|MANG2010-10081-05-06|05-06-Information Systems Management-10081|N|Y|N|Y
MANG2011-10083-07-08|MANG2011-10083-07-08|07-08-Human Resource Management-10083|N|Y|N|Y
MANG2011-10083-06-07|MANG2011-10083-06-07|06-07-Human Resource Management-10083|N|Y|N|Y
MANG2011-10083-05-06|MANG2011-10083-05-06|05-06-Human Resource Management-10083|N|Y|N|Y
MANG2012-10084-07-08|MANG2012-10084-07-08|07-08-Marketing Analysis-10084|N|Y|N|Y
MANG2012-10084-06-07|MANG2012-10084-06-07|06-07-Marketing Analysis-10084|N|Y|N|Y
MANG2012-10084-05-06|MANG2012-10084-05-06|05-06-Marketing Analysis-10084|N|Y|N|Y
MANG2013-10085-07-08|MANG2013-10085-07-08|07-08-The European Business Environment-10085|N|Y|N|Y
MANG2013-10085-06-07|MANG2013-10085-06-07|06-07-The European Business Environment-10085|N|Y|N|Y
MANG2013-10085-05-06|MANG2013-10085-05-06|05-06-The European Business Environment-10085|N|Y|N|Y
MANG2014-10087-07-08|MANG2014-10087-07-08|07-08-Accounting & Finance For Non-Specialists-10087|N|Y|N|Y
MANG2014-10087-06-07|MANG2014-10087-06-07|06-07-Accounting & Finance For Non-Specialists-10087|N|Y|N|Y
MANG2014-10087-05-06|MANG2014-10087-05-06|05-06-Accounting & Finance For Non-Specialists-10087|N|Y|N|Y
XXXX1234-99999-87-88|XXXX1234-99999-87-88|87-88-Demo Course-99999|N|Y|N|Y
