"id","lat","long","name","site","depiction","page","features","architect","occupants","building date","architects","awards"
"63A","","","East Site Building","","","http://www.soton.ac.uk/estates/ourestate/buildings/WSA/B63a.html","","","Winchester School of Art    ","1965","",""
"63C","","","Terrapin Building","","","http://www.soton.ac.uk/estates/ourestate/buildings/WSA/B63c.html","","","Library","1980's","",""
"63F","","","Administration Building","","","http://www.soton.ac.uk/estates/ourestate/buildings/WSA/B63f.html","","","Winchester School of Art, Estates and Facilities","1999","",""
"63G","","","Former Textile Conservation Centre","","","http://www.soton.ac.uk/estates/ourestate/buildings/WSA/B63G.html","","","Winchester School of Art    ","","",""
"63L","","","Students' Union Building","","","http://www.soton.ac.uk/estates/ourestate/buildings/WSA/B63L.html","","","Students' Union","1996","",""
"65","50.929203","-1.402838","Parkes Building","AvenueCampus","","http://www.soton.ac.uk/estates/ourestate/buildings/avenue/65.html","","Hawkins Brown (1996)","Humanities, Common Learning Spaces, Public Workstations and Business & Community Services","1925 (1996)","",""
"65a","50.928783","-1.403128","Crawford Building","AvenueCampus","","http://www.soton.ac.uk/estates/ourestate/buildings/avenue/65a.html","","","Humanities","1960s","",""
"65b","","","Burgess Building","","","http://www.soton.ac.uk/estates/ourestate/buildings/avenue/65b.html","","","Humanities","1960s","",""
"1","50.937691","-1.39609","","HighfieldCampus","http://www.soton.ac.uk//estates/ourestate/buildings/highfield/imgs/bldg1.jpg","http://www.soton.ac.uk/estates/ourestate/buildings/highfield/1.html","","","Electronics & Computer Science","1965","Richard Sheppard",""
"2","50.936298","-1.398139","Art II Building","HighfieldCampus","","http://www.soton.ac.uk/estates/ourestate/buildings/highfield/2.html","","Sir Basil Spence","Management, Music, ISS, Common Learning Spaces and Public Workstations","1968","",""
"4","50.936012","-1.397763","Law Building","HighfieldCampus","","http://www.soton.ac.uk/estates/ourestate/buildings/highfield/4.html","","Sir Basil Spence","Law and Common Learning Spaces","1963","",""
